|datasheet_id|line|button|description|Unnamed: 4
366|452|1|•||
367|453|1|•|This model’s 2 long-barrelled burst cannons can be replaced with 2 cyclic ion blasters.|
368|453|2|•|"This model’s swiftstrike burst cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 ion cannon</li><li>1 swiftstrike railgun</li></ul>"|
369|453|3|•|This model can be equipped with up to 4 seeker missiles.|
370|454|1|•|This model’s 2 burst cannons can be replaced with 2 cyclic ion blasters.|
371|454|2|•|"This model’s 2 ion cannons can be replaced with one of the following:<ul style=""list-style-type:circle""><li>2 swiftstrike burst cannons</li><li>2 swiftstrike railguns</li></ul>"|
372|454|3|•|This model can be equipped with up to 6 seeker missiles.|
373|454|4|•|This model’s transport bay can be replaced with 2 skyspear missile racks.|
374|455|1|•|This model can be equipped with up to 6 seeker missiles.|
375|455|2|•|This model’s 2 burst cannons can be replaced with 2 cyclic ion blasters.|
376|456|1|•||
377|457|1|•||
378|458|1|•||
379|459|1|•|"This model’s twin plasma rifle can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin burst cannon</li><li>1 twin fusion blaster</li><li>1 twin missile pod</li></ul>"|
380|460|1|•|"This model’s monstrous bonesword and lash whip can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy venom cannon</li><li>1 stranglethorn cannon</li><li>1 monstrous scything talons</li></ul>"|
381|460|2|•|"This model’s monstrous scything talons can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy venom cannon*</li><li>1 stranglethorn cannon*</li></ul>"|
382|460|3|*|*This model cannot be equipped with both a stranglethorn cannon and a heavy venom cannon. This model cannot be equipped with more than 1 heavy venom cannon, and it cannot be equipped with more than 1 stranglethorn cannon.|
383|465|1|•|This model’s massive scything talons can be replaced with 1 massive crushing claws.|
384|468|1|•|All models in this unit can each have their fleshborer replaced with 1 Termagant devourer.|
385|468|2|•|All models in this unit can each have their fleshborer replaced with 1 Termagant spinefists.|
386|468|3|•|For every 10 models in this unit, 1 model’s ranged weapon can be replaced with 1 shardlauncher|
387|468|4|•|For every 10 models in this unit, 1 model’s ranged weapon can be replaced with 1 spike rifle.|
388|468|5|•|For every 10 models in this unit, 1 model’s ranged weapon can be replaced with 1 strangleweb|
389|470|1|•|All models in this unit can each be equipped with 1 spinemaws.|
390|471|1|•|"Any number of models can each have their scything talons and rending claws replaced with one of the following:<ul style=""list-style-type:circle""><li>1 bone cleaver, lash whip and rending claws</li><li>1 crushing claws and rending claws</li></ul>"|
391|472|1|•|Any number of models can each have their shockcannon replaced with 1 impaler cannon.|
392|482|1|•||
393|483|1|•|Any number of models can each be equipped with 1 spinemaws.|
394|485|1|•|This model’s twin stranglethorn cannon can be replaced with 1 twin heavy venom cannon.|
395|490|1|•|"Any number of models can each have their Carnifex extra scything talons replaced with one of the following:<ul style=""list-style-type:circle""><li>1 deathspitters with slimer maggots</li><li>1 devourers with brainleech worms</li><li>1 heavy venom cannon</li><li>1 stranglethorn cannon</li><li>1 Carnifex crushing claws</li></ul>"|
396|490|2|•|"Any number of models can each have their Carnifex scything talons replaced with one of the following:<ul style=""list-style-type:circle""><li>1 deathspitters with slimer maggots</li><li>1 devourers with brainleech worms</li><li>1 Carnifex crushing claws</li></ul>"|
397|490|3|•|Any number of models can each be equipped with 1 bio-plasma.|
398|490|4|•|Any number of models can each be equipped with 1 spine banks.|
399|496|1|•|"This model’s fleshborer hive can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 acid spray</li><li>1 rupture cannon</li></ul>"|
400|499|1|•||
401|500|1|•||
402|503|1|•||
403|504|1|•||
404|505|1|•||
405|506|1|•||
406|511|1|•|One Acolyte Hybrid’s autopistol can be replaced with 1 cult icon.|
407|511|2|•|For every 5 models in this unit, up to 3 Acolyte Hybrids can each have their autopistol and cult claws and knife replaced with 1 heavy mining tool.|
408|511|3|•|The Acolyte Leader’s cult claws and knife can be replaced with 1 Leader's bio-weapons.|
409|512|1|•|One Neophyte Hybrid equipped with a Hybrid firearm can be equipped with 1 cult icon.|
410|512|2|•|"For every 10 models in this unit, up to 2 Neophyte Hybrids can each have their Hybrid firearm replaced with one of the following:<ul style=""list-style-type:circle""><li>Heavy stubber*</li><li>Mining laser*</li><li>Seismic cannon*</li></ul>"|
411|512|3|•|"For every 10 models in this unit, up to 2 Neophyte Hybrids can each have their Hybrid firearm replaced with one of the following:<ul style=""list-style-type:circle""><li>Flamer*</li><li>Grenade launcher*</li><li>Webber*</li></ul>"|
412|512|4|•|"The Neophyte Leader’s Hybrid firearm and close combat weapon can be replaced with 1 of the following:<ul style=""list-style-type:circle""><li>1 anointed pistol and 1 chainsword</li><li>1 anointed pistol and 1 power weapon</li></ul>"|
413|512|5|*|* To a maximum of 1 per 10 models in this unit.|
414|513|1|•|Any number of models can each have their autopistol replaced with 1 hand flamer.|
415|513|2|•|One Hybrid Metamorph’s autopistol can be replaced with 1 cult icon.|
416|521|1|•|"This model’s heavy mining laser can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 clearance incinerator</li><li>1 heavy seismic cannon</li></ul>"|
417|523|1|•|"This model’s tachyon arrow and Overlord’s blade can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 staff of light</li><li>1 voidscythe</li></ul>"|
418|523|2|•|If this model is not equipped with a tachyon arrow, it can be equipped with 1 resurrection orb.|
419|524|1|•|This model’s staff of light can be replaced with 1 Lord’s blade.|
420|524|2|•|This model can be equipped with 1 resurrection orb.|
421|531|1|•||
422|533|1|•|This model’s gauss cannon can be replaced with 1 tesla cannon.|
423|533|2|•|This model’s staff of light can be replaced with 1 Overlord’s blade.|
424|533|3|•|This model can be equipped with 1 resurrection orb.|
425|534|1|•|Any number of models can each have their gauss flayer replaced with 1 gauss reaper.|
426|535|1|•|All models in this unit can each have their gauss blaster replaced with 1 tesla carbine.|
427|536|1|•|All models in this unit can each have their warscythe replaced with 1 hyperphase sword and 1 dispersion shield.|
428|539|1|•|All models in this unit can each have their rod of covenant replaced with 1 particle caster and 1 voidblade.|
429|540|1|•|"This model’s heat ray can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 particle shredder</li><li>1 heavy gauss cannon array</li></ul>"|
430|546|1|•|"Any number of models can each be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 particle caster</li><li>1 transdimensional beamer</li></ul>"|
431|546|2|•|Any number of models can each have their vicious claws replaced with whip coils.|
432|548|1|•|"Any number of models can each have their twin gauss blaster replaced with one of the following:<ul style=""list-style-type:circle""><li>1 particle beamer</li><li>1 twin tesla carbine</li></ul>"|
433|548|2|•|Any number of models can each be equipped with 1 shieldvanes.|
434|548|3|•|"Any number of models can each be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 nebuloscope</li><li>1 shadowloom</li></ul>"|
435|551|1|•|Any number of models can each be equipped with 2 particle beamers.|
436|551|2|•|Any number of models can each be equipped with 1 fabricator claw array.|
437|551|3|•|Any number of models can each be equipped with 1 gloom prism.|
438|552|1|•|This model’s 4 gauss flux arcs can be replaced with 4 death rays.|
439|553|1|•|This model’s gauss cannon can be replaced with 1 tesla cannon.|
440|558|1|•||
441|559|1|•||
442|560|1|•||
443|562|1|•|"This model’s gauss exterminator can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 focused death ray</li><li>1 heat cannon</li></ul>"|
444|564|1|•|"This model’s 2 tesla cannons can be replaced with one of the following:<ul style=""list-style-type:circle""><li>2 gauss cannons</li><li>2 particle beamers</li></ul>"|
445|569|1|•||
446|570|1|•||
447|573|1|•||
448|577|1|•|"This model’s shuriken pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 death spinner</li><li>1 Dragon fusion gun</li><li>1 Dragon fusion pistol</li><li>1 Reaper launcher</li></ul>"|
449|577|2|•|"This model’s star glaive can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Banshee blade</li><li>1 Scorpion chainsword</li></ul>"|
450|580|1|•|"This model’s laser lance can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Dragon fusion gun</li><li>1 Banshee blade</li></ul>"|
451|582|1|•|This model’s witchblade can be replaced with 1 singing spear.|
452|583|1|•|This model’s witchblade can be replaced with 1 singing spear.|
453|584|1|•|Any number of models can each have their witchblade replaced with 1 singing spear.|
454|585|1|•|This model’s witchblade can be replaced with 1 singing spear.|
455|587|1|•|Any number of models can each have their witchblade replaced with 1 singing spear.|
456|589|1|•|"The Heavy Weapon Platform’s shuriken cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 starcannon</li></ul>"|
457|590|1|•|Up to 2 Storm Guardians can each have their shuriken pistol replaced with 1 flamer.|
458|590|2|•|Up to 2 Storm Guardians can each have their shuriken pistol replaced with 1 fusion gun.|
459|590|3|•|Up to 2 Storm Guardians can each have their close combat weapon replaced with 1 power sword.|
460|591|1|•|"Any number of models can each have their twin shuriken catapult replaced with one of the following:<ul style=""list-style-type:circle""><li>1 scatter laser</li><li>1 shuriken cannon</li></ul>"|
461|592|1|•||
462|593|1|•|"The Dire Avenger Exarch’s Avenger shuriken catapult can be replaced with 1 shuriken pistol and one of the following:<ul style=""list-style-type:circle""><li>1 diresword</li><li>1 power glaive</li></ul>"|
463|593|2|•|If this unit’s Dire Avenger Exarch is equipped with 1 Avenger shuriken catapult, it can be equipped with 1 additional Avenger shuriken catapult.|
464|593|3|•|The Dire Avenger Exarch’s shuriken pistol can be replaced with 1 shimmershield.|
465|593|4|•|For every 5 models in this unit, it can have 1 Aspect Shrine token.|
466|594|1|•|"The Howling Banshee Exarch’s Banshee blade can be replaced with 1 of the following:<ul style=""list-style-type:circle""><li>1 executioner</li><li>1 triskele</li></ul>"|
467|594|2|•|The Howling Banshee Exarch’s shuriken pistol and Banshee blade can be replaced with 1 mirrorswords.|
468|594|3|•|For every 5 models in this unit, it can have 1 Aspect Shrine token.|
469|595|1|•|"The Striking Scorpion Exarch’s shuriken pistol, Scorpion chainsword and Scorpion’s claw can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 biting blade and 1 shuriken pistol</li><li>1 chainsabres</li></ul>"|
470|595|2|•|For every 5 models in this unit, it can have 1 Aspect Shrine token.|
471|596|1|•|"The Fire Dragon Exarch model’s Exarch’s Dragon fusion gun can be replaced with 1 of the following:<ul style=""list-style-type:circle""><li>1 Dragon’s breath flamer</li><li>1 Dragon fusion pistol and 1 Dragon axe</li><li>1 firepike</li></ul>"|
472|596|2|•|For every 5 models in this unit, it can have 1 Aspect Shrine token.|
473|597|1|•|All of the models in this unit can each have their wraithcannon replaced with 1 D-scythe.|
474|598|1|•|All of the models in this unit can each have their ghostswords replaced with 1 ghostaxe and 1 forceshield.|
475|599|1|•|"This model’s twin shuriken cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin missile launcher</li><li>1 twin bright lance</li><li>1 twin scatter laser</li><li>1 twin starcannon</li></ul>"|
476|599|2|•|This model’s twin shuriken catapult can be replaced with 1 shuriken cannon.|
477|600|1|•|"The Swooping Hawk Exarch’s Hawk’s talon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Exarch’s lasblaster</li><li>1 sunpistol and 1 power sword</li><li>1 scatter laser</li></ul>"|
478|600|2|•|For every 5 models in this unit, it can have 1 Aspect Shrine token.|
479|601|1|•|"The Warp Spider Exarch’s Exarch’s death spinner can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 spinneret rifle and 1 death weavers</li><li>1 powerblades and 1 death weavers</li><li>1 powerblade array</li></ul>"|
480|601|2|•|For every 5 models in this unit, it can have 1 Aspect Shrine token.|
481|602|1|•|"The Shining Spear Exarch’s laser lance can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 paragon sabre</li><li>1 star lance</li></ul>"|
482|602|2|•|The Shining Spear Exarch’s twin shuriken catapult can be replaced with 1 shuriken cannon.|
483|602|3|•|The Shining Spear Exarch can be equipped with 1 shimmershield.|
484|603|1|•|This model’s 2 starcannons can be replaced with 2 bright lances.|
485|605|1|•|"Any number of models can each have their shuriken cannon replaced with one of the following:<ul style=""list-style-type:circle""><li>1 missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 starcannon</li></ul>"|
486|607|1|•|"The Dark Reaper Exarch’s Reaper launcher can be replaced with 1 of the following:<ul style=""list-style-type:circle""><li>1 missile launcher</li><li>1 shuriken cannon</li><li>1 tempest launcher</li></ul>"|
487|607|2|•|For every 5 models in this unit, it can have 1 Aspect Shrine token.|
488|609|1|•|"This model’s scatter laser can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 missile launcher</li><li>1 bright lance</li><li>1 shuriken cannon</li><li>1 starcannon</li></ul>"|
489|609|2|•|This model’s twin shuriken catapult can be replaced with 1 shuriken cannon.|
490|610|1|•|This model’s twin shuriken catapult can be replaced with 1 shuriken cannon.|
491|611|1|•|This model's twin shuriken catapult can be replaced with 1 shuriken cannon.|
492|612|1|•|"Each model can have each shuriken cannon it is equipped with replaced with one of the following:<ul style=""list-style-type:circle""><li>1 missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 starcannon</li></ul>"|
493|613|1|•|Each of this model's shuriken catapults can be replaced with 1 flamer.|
494|613|2|•|This model can be equipped with 1 ghostglaive.|
495|613|3|•|"This model can be equipped with up to two of the following:<ul style=""list-style-type:circle""><li>1 missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 shuriken cannon</li><li>1 starcannon</li></ul>"|
496|614|1|•|This model's suncannon can be replaced with 1 heavy wraithcannon.|
497|614|2|•|This model’s scattershield can be replaced with 1 heavy wraithcannon.|
498|614|3|•|"This model can be equipped with up to two of the following:<ul style=""list-style-type:circle""><li>1 scatter laser</li><li>1 shuriken cannon</li><li>1 starcannon</li></ul>"|
499|615|1|•||
500|616|1|•|"This model’s scatter laser can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Aeldari missile launcher</li><li>1 bright lance</li><li>1 shuriken cannon</li><li>1 starcannon</li></ul>"|
501|616|2|•|"This model’s shuriken cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Aeldari missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 starcannon</li></ul>"|
502|617|1|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 Aeldari missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 shuriken cannon</li><li>1 starcannon</li><li>1 Wraithseer D-cannon</li></ul>"|
503|618|1|•|"Each of this model’s Hornet pulse lasers can be replaced with one of the following:<ul style=""list-style-type:circle""><li>Aeldari missile launcher</li><li>Bright lance</li><li>Scatter laser</li><li>Shuriken cannon</li><li>Starcannon</li></ul>"|
504|619|1|•|This model’s twin shuriken catapult can be replaced with 1 shuriken cannon.|
505|620|1|•|"This model’s shuriken cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>Aeldari missile launcher</li><li>Bright lance</li><li>Scatter laser</li><li>Starcannon</li></ul>"|
506|621|1|•|"This model’s shuriken cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Aeldari missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 starcannon</li></ul>"|
507|622|1|•|"This model’s shuriken cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Aeldari missile launcher</li><li>1 bright lance</li><li>1 scatter laser</li><li>1 starcannon</li></ul>"|
508|623|1|•||
509|624|1|•||
510|625|1|•||
511|626|1|•||
512|627|1|•|"This model can be equipped with up to two of the following:<ul style=""list-style-type:circle""><li>1 scatter laser</li><li>1 shuriken cannon</li><li>1 starcannon</li></ul>"|
513|627|2|•|This model’s inferno lance can be replaced with 1 deathshroud cannon.|
514|627|3|•|"This model’s scattershield can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 inferno lance</li><li>1 deathshroud cannon</li></ul>"|
515|628|1|•|This model’s Revenant pulsar can be replaced with 1 sonic lance.|
516|628|2|•|This model’s sonic lance can be replaced with 1 Revenant pulsar.|
517|629|1|•|"Any number of models can each have their twin shuriken catapult replaced with one of the following:<ul style=""list-style-type:circle""><li>1 dark lance</li><li>1 dissonance cannon</li><li>1 scatter laser</li><li>1 shuriken cannon</li><li>1 splinter cannon</li></ul>"|
518|629|2|•|"The Cloud Dancer Felarch can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 dissonance pistol</li><li>1 void sabre</li></ul>"|
519|630|1|•||
520|631|1|•|"This model’s D-bombard can be replaced with one of the following:<ul style=""list-style-type:circle""><li>2 Phantom starcannons and 1 wraith glaive</li><li>1 Phantom starcannon, 1 pulse laser and 1 wraith glaive</li><li>2 pulse lasers and 1 wraith glaive</li><li>1 Phantom pulsar</li></ul>"|
521|631|2|•|"This model’s Phantom pulsar can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 D-bombard</li><li>2 Phantom starcannons and 1 wraith glaive</li><li>1 Phantom starcannon, 1 pulse laser and 1 wraith glaive</li><li>2 pulse lasers and 1 wraith glaive</li></ul>"|
522|631|3|•|This model’s Phantom starcannon can be replaced with 1 pulse laser.|
523|632|1|•|Any number of models can each have their Corsair firearm replaced with 1 spar-glaive.|
524|632|2|•|"For every 5 models in this unit, 1 model’s Corsair firearm can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Aeldari missile launcher</li><li>1 blaster</li><li>1 dark lance</li><li>1 flamer</li><li>1 fusion gun</li><li>1 shredder</li><li>1 shuriken cannon</li><li>1 splinter cannon</li></ul>"|
525|632|3|•|"The Corsair Reaver Felarch can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 dissonance pistol</li><li>1 void sabre</li></ul>"|
526|633|1|•|"Any number of models can each have their Corsair firearm replaced with one of the following:<ul style=""list-style-type:circle""><li>1 shardcarbine</li><li>1 shuriken catapult</li><li>1 spar-glaive</li></ul>"|
527|633|2|•|"For every 5 models in this unit, 1 model’s Corsair firearm can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Aeldari missile launcher</li><li>1 blaster</li><li>1 dark lance</li><li>1 flamer</li><li>1 fusion gun</li><li>1 shredder</li><li>1 shuriken cannon</li><li>1 splinter cannon</li></ul>"|
528|633|3|•|"The Corsair Skyreaver Felarch can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 dissonance pistol</li><li>1 void sabre</li></ul>"|
529|634|1|•|"This model's splinter pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 blast pistol</li><li>1 soul trap</li></ul>"|
530|634|2|•|"This model’s huskblade can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 agoniser</li><li>1 master-crafted power weapon</li></ul>"|
531|642|1|•||
532|644|1|•|The Sybarite’s close combat weapon can be replaced with 1 power weapon.|
533|644|2|•|"The Sybarite can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 Kabalite icon</li><li>1 phantasm grenade launcher</li></ul>"|
534|644|3|•|"The Sybarite’s splinter rifle can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 blast pistol</li><li>1 splinter pistol</li></ul>"|
535|644|4|•|1 Kabalite Warrior’s splinter rifle can be replaced with 1 blaster.|
536|644|5|•|1 Kabalite Warrior’s splinter rifle can be replaced with 1 dark lance.|
537|644|6|•|1 Kabalite Warrior’s splinter rifle can be replaced with 1 shredder.|
538|644|7|•|1 Kabalite Warrior’s splinter rifle can be replaced with 1 splinter cannon.|
539|646|1|•|The Hekatrix’s splinter pistol can be replaced with 1 blast pistol.|
540|646|2|•|The Hekatrix’s Hekatarii blade can be replaced with 1 power weapon.|
541|646|3|•|Up to 3 Wyches can each have their splinter pistol and Hekatarii blade replaced with 1 gladiatorial weapons.|
542|648|1|•|The Klaivex’s klaive can be replaced with 1 demiklaives.|
543|648|2|•|For every 5 models in this unit, it can be equipped with 1 Incubi Shrine token.|
544|650|1|•|"For every 5 models in this unit:<ul style=""list-style-type:circle""><li>1 model’s twin torturer’s tools can be replaced with 1 hexrifle and 1 torturer’s tool</li><li>1 model’s twin torturer’s tools can be replaced with 1 liquifier gun and 1 torturer’s tool</li><li>1 model’s twin torturer’s tools can be replaced with 1 ossefactor and 1 torturer’s tool</li><li>1 model’s twin torturer’s tools can be replaced with 1 stinger pistol and 1 torturer’s tool</li></ul>"|
545|650|2|•|The Acothyst’s twin torturer’s tools can be replaced with 1 power weapon and 1 torturer’s tool.|
546|650|3|•|If the Acothyst is not equipped with a power weapon, its torturer’s tool can be replaced with 1 power weapon.|
547|651|1|•|Any number of models can each replace their paired monstrous weapons with 1 monstrous weapon and 1 liquifier gun.|
548|652|1|•||
549|656|1|•|This model’s dark lance can be replaced with 1 disintegrator cannon.|
550|657|1|•|This model’s twin splinter rifle can be replaced with 1 splinter cannon.|
551|658|1|•|"For every 3 models in this unit, 1 model’s splinter rifle can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 blaster</li><li>1 heat lance</li></ul>"|
552|658|2|•|"For every 3 models in this unit, 1 model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 cluster caltrops</li><li>1 grav-talon</li></ul>"|
553|659|1|•|The Helliarch can be equipped with 1 phantasm grenade launcher.|
554|659|2|•|"The Helliarch’s hellglaive can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 splinter pistol and 1 power weapon.</li><li>1 splinter pistol and 1 stunclaw.</li></ul>"|
555|659|3|•|If the Helliarch is equipped with 1 splinter pistol, it can be equipped with 1 hellglaive (that model’s hellglaive cannot be replaced).|
556|660|1|•|This model’s 2 dark lances can be replaced with 2 disintegrator cannons.|
557|660|2|•|This model’s twin splinter rifle can be replaced with 1 splinter cannon.|
558|661|1|•|This model can be equipped with 1 Voidraven missiles.|
559|661|2|•|This model’s 2 void lances can be replaced with 2 dark scythes.|
560|662|1|•|"The Solarite’s shardcarbine can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 blast pistol and 1 power weapon</li><li>1 splinter pistol and 1 power weapon</li></ul>"|
561|662|2|•|"Any number of Scourges can each replace their splinter cannon with one of the following:<ul style=""list-style-type:circle""><li>1 blaster</li><li>1 dark lance</li><li>1 haywire blaster</li><li>1 heat lance</li><li>1 shredder</li></ul>"|
562|663|1|•|"Any number of models can each replace their twin splinter cannon with one of the following:<ul style=""list-style-type:circle""><li>1 stinger pod</li><li>1 twin haywire blaster</li><li>1 twin heat lance</li></ul>"|
563|663|2|•|"Any number of models can each replace one of their macro-scalpels with one of the following:<ul style=""list-style-type:circle""><li>1 Talos ichor injector</li><li>1 twin liquifier gun</li></ul>"|
564|663|3|•|"Any number of models can each replace one of their macro-scalpels with one of the following:<ul style=""list-style-type:circle""><li>1 chain flails</li><li>1 Talos gauntlet</li></ul>"|
565|664|1|•|Any number of models can each be equipped with 1 spirit vortex.|
566|665|1|•|Any number of this model’s dark lances can each be replaced with 1 disintegrator cannon.|
567|666|1|•||
568|667|1|•||
569|680|1|•|"This model’s Leman Russ battle cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 demolisher battle cannon</li><li>1 eradicator nova cannon</li><li>1 executioner plasma cannon</li><li>1 exterminator autocannon</li><li>1 punisher gatling cannon</li><li>1 vanquisher battle cannon</li></ul>"|
570|680|2|•|"This model’s lascannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter</li><li>1 heavy flamer</li></ul>"|
571|680|3|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 heavy flamers</li><li>2 multi-meltas</li><li>2 plasma cannons</li></ul>"|
572|680|4|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 heavy stubber</li><li>1 storm bolter</li></ul>"|
573|680|5|•|This model can be equipped with 1 hunter-killer missile.|
574|686|1|•|"Any number of models can each have their heavy bolter replaced with one of the following:<ul style=""list-style-type:circle""><li>1 autocannon</li><li>1 lascannon</li><li>1 missile launcher</li><li>1 mortar</li></ul>"|
575|690|1|•|"Any number of models can each have their multi-laser replaced with one of the following:<ul style=""list-style-type:circle""><li>1 autocannon</li><li>1 heavy flamer</li><li>1 lascannon</li><li>1 missile launcher</li><li>1 plasma cannon</li></ul>"|
576|690|2|•|Any number of models can each be equipped with 1 Sentinel chainsaw.|
577|690|3|•|Any number of models can each be equipped with 1 hunter-killer missile.|
578|691|1|•|"Any number of models can each have their multi-laser replaced with one of the following:<ul style=""list-style-type:circle""><li>1 autocannon</li><li>1 heavy flamer</li><li>1 lascannon</li><li>1 missile launcher</li><li>1 plasma cannon</li></ul>"|
579|691|2|•|Any number of models can each be equipped with 1 Sentinel chainsaw.|
580|691|3|•|Any number of models can each be equipped with 1 hunter-killer missile.|
581|692|1|•|This model’s heavy bolter can be replaced with 1 heavy flamer.|
582|692|2|•|"This model’s multi-laser can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter*</li><li>1 heavy flamer*</li></ul>"|
583|692|3|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 heavy stubber</li><li>1 storm bolter</li></ul>"|
584|692|4|•|This model can be equipped with 1 hunter-killer missile.|
585|692|5|*|* This weapon cannot be replaced.|
586|693|1|•|This model can be equipped with 1 storm bolter.|
587|694|1|•|"This model’s inferno cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 chem cannon</li><li>1 melta cannon</li></ul>"|
588|694|2|•|"This model’s heavy flamer can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter</li><li>1 multi-melta</li></ul>"|
589|694|3|•|This model can be equipped with 1 hunter-killer missile.|
590|695|1|•|This model’s heavy bolter can be replaced with 1 heavy flamer.|
591|695|2|•|This model can be equipped with 1 hunter-killer missile.|
592|696|1|•|This model’s heavy bolter can be replaced with 1 heavy flamer.|
593|696|2|•|This model can be equipped with 1 hunter-killer missile.|
594|697|1|•|This model’s heavy bolter can be replaced with 1 heavy flamer.|
595|697|2|•|This model can be equipped with 1 hunter-killer missile.|
596|698|1|•|This model’s heavy bolter can be replaced with 1 heavy flamer.|
597|698|2|•|This model can be equipped with 1 hunter-killer missile.|
598|699|1|•|This model’s heavy bolter can be replaced with 1 heavy flamer.|
599|699|2|•|This model can be equipped with 1 hunter-killer missile.|
600|700|1|•|"This model’s lascannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter</li><li>1 heavy flamer</li></ul>"|
601|700|2|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 heavy flamers</li><li>2 multi-meltas</li><li>2 plasma cannons</li></ul>"|
602|700|3|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 heavy stubber</li><li>1 storm bolter</li></ul>"|
603|700|4|•|This model can be equipped with 1 hunter-killer missile.|
604|701|1|•|"This model’s lascannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter</li><li>1 heavy flamer</li></ul>"|
605|701|2|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 heavy flamers</li><li>2 multi-meltas</li><li>2 plasma cannons</li></ul>"|
606|701|3|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 heavy stubber</li><li>1 storm bolter</li></ul>"|
607|701|4|•|This model can be equipped with 1 hunter-killer missile.|
608|702|1|•|This model’s 2 twin heavy flamers can be replaced with 2 twin heavy bolters.|
609|702|2|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 lascannons and 2 twin heavy bolters</li><li>2 lascannons and 2 twin heavy flamers</li></ul>"|
610|703|1|•|This model’s 2 twin heavy flamers can be replaced with 2 twin heavy bolters.|
611|703|2|•|"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 lascannons and 2 twin heavy bolters</li><li>2 lascannons and 2 twin heavy flamers</li></ul>"|
