|datasheet_id|line|name|M|T|Sv|inv_sv|inv_sv_descr|W|Ld|OC|base_size|base_size_descr|Unnamed: 13
341|561|1|Night Shroud|"20+"""|9|3+|-||14|7+|0|120 x 92mm flying base||
342|562|1|Sentry Pylon|-|8|3+|-||10|7+|0|Use model||
343|564|1|Tesseract Ark|"9"""|9|3+|4||10|6+|3|60mm||
344|567|1|Gauss Pylon|-|12|3+|5||22|7+|0|Use model||
345|568|1|Eldrad Ulthran|"7"""|4|6+|4||5|6+|1|32mm||
346|569|1|Prince Yriel|"7"""|3|3+|4||4|6+|1|32mm||
347|570|1|Illic Nightspear|"7"""|3|5+|5|*  This model has a 5+ invulnerable save against ranged attacks.|3|6+|1|25mm||
348|571|1|Asurmen|"7"""|3|2+|4||5|6+|1|40mm||
349|572|1|Jain Zar|"8"""|3|2+|4||5|6+|1|40mm||
350|573|1|Karandras|"7"""|3|2+|4||5|6+|1|25mm||
351|574|1|Fuegan|"7"""|3|2+|4||5|6+|1|40mm||
352|575|1|Baharroth|"14"""|3|2+|4||5|6+|1|40mm||
353|576|1|Maugan Ra|"7"""|3|2+|4||5|6+|1|40mm||
354|577|1|Autarch|"7"""|3|3+|4||4|6+|1|32mm||
355|580|1|Autarch Skyrunner|"14"""|4|3+|4||5|6+|2|32mm flying base||
356|581|1|Avatar of Khaine|"10"""|11|2+|4||14|6+|5|80mm||
357|582|1|Farseer|"7"""|3|6+|4||4|6+|1|25mm||
358|583|1|Farseer Skyrunner|"14"""|4|6+|4||5|6+|2|32mm flying base||
359|584|1|Warlock Conclave|"7"""|3|6+|4||2|6+|1|32mm||
360|585|1|Warlock|"7"""|3|6+|4||2|6+|1|32mm||
361|587|1|Warlock Skyrunner|"14"""|4|6+|4||3|6+|2|32mm flying base||
362|588|1|Spiritseer|"7"""|3|6+|4||3|6+|1|25mm||
363|589|1|GUARDIAN DEFENDER|"7"""|3|4+|-||1|7+|2|28.5mm||
364|589|2|HEAVY WEAPON PLATFORM|"7"""|3|4+|-||2|7+|0|40mm||
365|590|1|STORM GUARDIAN|"7"""|3|4+|-||1|7+|2|28.5mm||
366|590|2|SERPENT’S SCALE PLATFORM|"7"""|3|4+|-||2|7+|0|40mm||
367|591|1|Windriders|"14"""|4|4+|6||2|7+|2|32mm flying base||
368|592|1|Rangers|"7"""|3|5+|5|* Against ranged attacks only|1|7+|1|28.5mm||
369|593|1|DIRE AVENGER|"7"""|3|4+|5||1|6+|1|28.5mm||
370|593|2|DIRE AVENGER EXARCH|"7"""|3|4+|5||2|6+|1|28.5mm||
371|594|1|HOWLING BANSHEE|"8"""|3|4+|5|This invulnerable save is improved to 4+ against melee attacks.|1|6+|1|28.5mm||
372|594|2|HOWLING BANSHEE EXARCH|"8"""|3|4+|5|This invulnerable save is improved to 4+ against melee attacks.|2|6+|1|28.5mm||
373|595|1|STRIKING SCORPION|"7"""|3|3+|5||1|6+|1|28.5mm||
374|595|2|STRIKING SCORPION EXARCH|"7"""|3|3+|5||2|6+|1|28.5mm||
375|596|1|FIRE DRAGON|"7"""|3|3+|5||1|6+|1|28.5mm||
376|596|2|FIRE DRAGON EXARCH|"7"""|3|3+|5||2|6+|1|28.5mm||
377|597|1|Wraithguard|"6"""|6|2+|-||3|8+|1|40mm||
378|598|1|Wraithblades|"6"""|6|2+|-||3|8+|1|40mm||
379|599|1|Wave Serpent|"14"""|9|3+|5||13|7+|2|60mm flying base||
380|600|1|SWOOPING HAWK|"14"""|3|4+|5||1|6+|1|32mm||
381|600|2|SWOOPING HAWK EXARCH|"14"""|3|4+|5||2|6+|1|32mm||
382|601|1|WARP SPIDER|"12"""|3|3+|5||1|6+|1|28.5mm||
383|601|2|WARP SPIDER EXARCH|"12"""|3|3+|5||2|6+|1|28.5mm||
384|602|1|SHINING SPEAR|"14"""|4|3+|5||2|6+|2|60mm flying base||
385|602|2|SHINING SPEAR EXARCH|"14"""|4|3+|5||3|6+|2|60mm flying base||
386|603|1|Crimson Hunter|"20+"""|8|3+|5||12|6+|0|170 x 109mm flying base||
387|605|1|Vypers|"14"""|6|3+|-||6|7+|2|60mm flying base||
388|606|1|Hemlock Wraithfighter|"20+"""|8|3+|-||12|6+|0|170 x 109mm flying base||
389|607|1|DARK REAPER|"6"""|3|3+|5||1|6+|1|28.5mm||
390|607|2|DARK REAPER EXARCH|"6"""|3|3+|5||2|6+|1|28.5mm||
391|609|1|Falcon|"14"""|9|3+|-||12|7+|3|60mm flying base||
392|610|1|Fire Prism|"14"""|9|3+|-||12|7+|3|60mm flying base||
393|611|1|Night Spinner|"14"""|9|3+|-||12|7+|3|60mm flying base||
394|612|1|War Walkers|"10"""|7|3+|5||6|7+|2|60mm||
395|613|1|Wraithlord|"8"""|10|2+|-||10|8+|3|60mm||
396|614|1|Wraithknight|"12"""|12|2+|-||18|6+|10|120 x 92mm||
397|615|1|SHADOW SPECTRE|"12"""|3|3+|5||1|6+|1|25mm||
398|615|2|SHADOW SPECTRE EXARCH|"12"""|3|3+|5||2|6+|1|25mm||
399|616|1|Wasp Assault Walker|"10"""|7|3+|4||6|6+|2|60mm||
400|617|1|Wraithseer|"8"""|11|2+|5||10|6+|3|60mm||
401|618|1|Hornet|"14"""|7|3+|-||8|6+|2|60mm||
402|619|1|Warp Hunter|"14"""|9|3+|-||12|6+|3|Use model||
403|620|1|Lynx|"14"""|9|3+|5||16|6+|4|Use model||
404|621|1|Scorpion|"14"""|11|2+|5||24|6+|8|Use model||
405|622|1|Cobra|"14"""|11|2+|5||24|6+|8|Use model||
406|623|1|Nightwing|"20+"""|8|3+|5||12|6+|0|120 x 92mm flying base||
407|624|1|Phoenix|"20+"""|9|3+|-||16|6+|0|120 x 92mm flying base||
408|625|1|Vampire Raider|"20+"""|12|3+|4*|Against ranged attacks only|30|6+|0|170 x 109mm flying base||
409|626|1|Vampire Hunter|"20+"""|12|3+|4*|Against ranged attacks only|30|6+|0|170 x 109mm flying base||
410|627|1|Skathach Wraithknight|"10"""|12|2+|-||18|6+|10|120 x 92mm||
411|628|1|Revenant Titan|"16"""|13|2+|4|* Against ranged attacks only|30|6+|16|Use model||
412|629|1|Corsair Cloud Dancer Band|"14"""|4|3+|-||2|6+|2|32mm flying base||
413|630|1|Irillyth|"12"""|3|2+|4||5|6+|1|25mm||
414|631|1|Phantom Titan|"14"""|14|2+|4|* Against ranged attacks only|55|6+|20|Use model||
415|632|1|Corsair Reaver Band|"7"""|3|5+|-||3|6+|2|25mm||
416|633|1|Corsair Skyreaver Band|"14"""|3|5+|-||3|6+|1|25mm||
417|634|1|Archon|"7"""|3|4+|2|* See Shadowfield ability (below)|4|6+|1|32mm||
418|639|1|Succubus|"8"""|3|6+|4||4|7+|1|25mm||
419|640|1|Lelith Hesperax|"8"""|3|6+|4||4|6+|1|32mm||
420|641|1|Haemonculus|"7"""|4|5+|6||5|7+|1|25mm||
421|642|1|Urien Rakarth|"7"""|4|6+|4||5|6+|1|25mm||
422|643|1|Drazhar|"7"""|3|2+|4||5|6+|1|40mm||
423|644|1|Kabalite Warriors|"7"""|3|4+|6||1|7+|2|25mm||
424|646|1|Wyches|"8"""|3|6+|6|* 4+ against melee attacks|1|7+|2|25mm||
425|648|1|INCUBI|"7"""|3|3+|5||1|6+|1|28.5mm||
426|648|2|KLAIVEX|"7"""|3|3+|5||2|6+|1|28.5mm||
427|649|1|Mandrakes|"8"""|3|7+|5||1|7+|1|28.5mm||
428|650|1|Wracks|"7"""|4|5+|6||2|7+|2|25mm||
429|651|1|Grotesques|"7"""|5|6+|6||4|7+|1|40mm||
430|652|1|BEASTMASTER|"12"""|4|6+|6||3|7+|1|32mm flying base||
431|652|2|CLAWED FIEND |"12"""|4|6+|6||5|8+|1|40mm||
432|652|3|KHYMERAE|"12"""|4|6+|6||2|8+|1|40mm||
433|652|4|RAZORWING FLOCK|"12"""|4|6+|6||3|8+|1|40mm||
434|656|1|Raider|"14"""|8|4+|6||10|7+|2|60mm flying base||
435|657|1|Venom|"14"""|6|4+|6||6|7+|1|60mm flying base||
436|658|1|Reavers|"16"""|4|4+|6||2|7+|2|32mm flying base||
437|659|1|Hellions|"14"""|4|4+|6||2|7+|1|32mm flying base||
438|660|1|Razorwing Jetfighter|"20+"""|8|4+|6||10|7+|0|120 x 92mm flying base||
439|661|1|Voidraven Bomber|"20+"""|9|4+|6||12|7+|0|120 x 92mm flying base||
440|662|1|Scourges|"14"""|3|4+|5||1|7+|1|32mm||
441|663|1|Talos|"7"""|7|3+|6||7|7+|2|60mm flying base||
442|664|1|Cronos|"7"""|7|3+|6||7|7+|2|60mm flying base||
443|665|1|Ravager|"14"""|9|4+|6||11|7+|3|Use model||
444|666|1|Reaper|"14"""|9|4+|6||11|7+|3|Use model||
445|667|1|Tantalus|"16"""|10|4+|5||18|7+|5|Use model||
446|680|1|Leman Russ Commander|"10"""|11|2+|-||13|7+|3|Use model||
447|686|1|Heavy Weapons Squad|"6"""|3|5+|-||2|7+|2|50mm||
448|690|1|Scout Sentinels|"10"""|7|3+|-||7|7+|2|80mm||
449|691|1|Armoured Sentinels|"8"""|8|2+|-||7|7+|2|80mm||
450|692|1|Chimera|"10"""|9|3+|-||11|7+|2|Use model||
451|693|1|Taurox|"12"""|8|3+|-||10|7+|2|Use model||
452|694|1|Hellhound|"10"""|10|2+|-||11|7+|3|Use model||
453|695|1|Basilisk|"10"""|9|3+|-||11|7+|3|Use model||
454|696|1|Hydra|"10"""|9|3+|-||11|7+|3|Use model||
455|697|1|Wyvern|"10"""|9|3+|-||11|7+|3|Use model||
456|698|1|Manticore|"10"""|10|3+|-||11|7+|3|Use model||
457|699|1|Deathstrike|"10"""|10|3+|-||11|7+|3|Use model||
458|700|1|Leman Russ Battle Tank|"10"""|11|2+|-||13|7+|3|Use model||
459|701|1|Leman Russ Demolisher|"10"""|11|2+|-||13|7+|3|Use model||
460|702|1|Baneblade|"12"""|13|2+|-||24|7+|8|Use model||
461|703|1|Banehammer|"12"""|13|2+|-||24|7+|8|Use model||
462|704|1|Banesword|"12"""|13|2+|-||24|7+|8|Use model||
463|705|1|Doomhammer|"12"""|13|2+|-||24|7+|8|Use model||
464|706|1|Hellhammer|"12"""|13|2+|-||24|7+|8|Use model||
465|707|1|Shadowsword|"12"""|13|2+|-||24|7+|8|Use model||
466|708|1|Stormlord|"12"""|13|2+|-||24|7+|8|Use model||
467|709|1|Stormsword|"12"""|13|2+|-||24|7+|8|Use model||
468|713|1|‘Iron Hand’ Straken|"6"""|3|3+|4||4|7+|1|25mm||
469|714|1|Sergeant Harker|"6"""|4|5+|-||3|7+|1|25mm||
470|716|1|Commissar|"6"""|3|5+|5||3|6+|1|28.5mm||
471|719|1|TEMPESTUS SCION|"6"""|3|4+|-||1|7+|1|25mm||
472|719|2|TEMPESTOR PRIME|"6"""|3|4+|-||3|7+|1|25mm||
473|721|1|Taurox Prime|"12"""|8|3+|-||10|7+|2|Use model||
474|722|1|Ogryn Squad|"6"""|6|5+|-||3|7+|1|40mm||
475|723|1|Bullgryn Squad|"6"""|6|3+|-||3|7+|1|40mm||
476|724|1|Ratlings|"6"""|2|6+|-||1|8+|1|25mm||
477|725|1|Nork Deddog|"6"""|6|4+|-||6|7+|1|40mm||
478|727|1|Valkyrie|"20+"""|10|2+|-||14|7+|0|120 x 92mm flying base||
479|728|1|Atlas Recovery Vehicle|"10"""|9|3+|-||10|7+|3|Use model||
480|729|1|Salamander Command Vehicle|"12"""|8|3+|-||10|7+|3|Use model||
481|730|1|Hades Breaching Drill|"6"""|9|3+|-||8|7+|2|Use model||
482|731|1|Centaur Light Carrier|"10"""|7|3+|-||7|7+|1|Use model||
483|733|1|Trojan Support Vehicle|"10"""|9|3+|-||11|7+|2|Use model||
484|735|1|Salamander Scout Vehicle|"12"""|8|3+|-||10|7+|3|Use model||
485|736|1|Tauros Assault Vehicle|"12"""|6|4+|-||6|7+|2|Use model||
486|737|1|Tauros Venator|"12"""|6|4+|-||6|7+|2|Use model||
487|739|1|Armageddon-pattern Medusa|"10"""|9|3+|-||11|7+|3|Use model||
488|740|1|Colossus|"10"""|10|2+|-||11|7+|3|Use model||
489|741|1|Cyclops Demolition Vehicle|"8"""|4|3+|-||4|8+|0|Use model||
490|743|1|Earthshaker Carriage Battery|"4"""|7|4+|-||6|7+|2|Use model||
491|744|1|Griffon Mortar Carrier|"10"""|9|3+|-||11|7+|3|Use model||
492|745|1|Heavy Mortar Team|"4"""|5|3+|-||4|7+|2|Use model||
493|746|1|Heavy Quad Launcher Team|"4"""|5|3+|-||4|7+|2|Use model||
494|747|1|Hydra Platform|-|8|3+|-||8|7+|2|Use model||
495|751|1|Malcador Annihilator|"10"""|11|2+|-||18|7+|5|Use model||
496|752|1|Malcador Defender|"10"""|11|2+|-||18|7+|5|Use model||
497|753|1|Malcador|"10"""|11|2+|-||18|7+|5|Use model||
498|754|1|Malcador Infernus|"10"""|11|2+|-||18|7+|5|Use model||
499|755|1|Manticore Platform|-|8|3+|-||8|7+|2|Use model||
500|756|1|Medusa Carriage Battery|"4"""|7|4+|-||6|7+|2|Use model||
501|757|1|Rapier Laser Destroyer Battery|"6"""|4|4+|-||3|7+|1|Use model||
502|758|1|Sabre Weapons Battery|-|4|4+|-||4|7+|1|Use model||
503|759|1|Sentinel Powerlifter|"8"""|7|3+|-||6|7+|2|Use model||
504|760|1|Stygies Destroyer Tank Hunter|"10"""|11|2+|-||13|7+|3|Use model||
505|762|1|Tarantula Battery|-|5|3+|-||4|7+|0|Use model||
506|763|1|Stormblade|"9"""|13|2+|-||24|7+|8|Use model||
507|764|1|Arkurian Stormhammer|"9"""|13|2+|-||24|7+|8|Use model||
508|766|1|Crassus|"10"""|11|2+|-||18|7+|5|Use model||
509|767|1|Dominus Armoured Siege Bombard|"9"""|13|2+|-||20|7+|8|Use model||
510|768|1|Gorgon Heavy Transport|"9"""|13|2+|5|Against ranged attacks only|20|7+|8|Use model||
511|769|1|Macharius|"9"""|13|2+|-||20|7+|8|Use model||
512|770|1|Macharius Omega|"9"""|13|2+|-||20|7+|8|Use model||
513|771|1|Macharius Vanquisher|"9"""|13|2+|-||20|7+|8|Use model||
514|772|1|Macharius Vulcan|"9"""|13|2+|-||20|7+|8|Use model||
515|773|1|Marauder Bomber|"20+"""|10|2+|-||20|7+|0|Use model||
516|774|1|Marauder Destroyer|"20+"""|10|2+|-||20|7+|0|Use model||
517|775|1|Minotaur|"10"""|11|2+|-||18|7+|5|Use model||
518|776|1|Praetor|"10"""|11|2+|-||18|7+|5|Use model||
519|777|1|Valdor|"9"""|13|2+|-||20|7+|8|Use model||
520|778|1|Aquila Lander|"20+"""|9|3+|-||12|7+|0|120 x 92mm flying base||
521|779|1|Arvus Lighter|"20+"""|8|3+|-||8|7+|0|120 x 92mm flying base||
522|780|1|Avenger Strike Fighter|"20+"""|9|3+|-||14|7+|0|120 x 92mm flying base||
523|781|1|Voss-pattern Lightning|"20+"""|9|3+|-||14|7+|0|120 x 92mm flying base||
524|783|1|Vendetta Gunship|"20+"""|10|2+|-||14|7+|0|120 x 92mm flying base||
525|784|1|Vulture Gunship|"20+"""|10|2+|-||14|7+|0|120 x 92mm flying base||
526|785|1|Imperial Fortress Walls|-|14|2+|-||80|7+|0|Use model||
527|786|1|Primaris Redoubt|-|12|3+|5||18|7+|0|Use model||
528|838|1|Belisarius Cawl|"8"""|8|2+|4||10|6+|3|105 x 70mm||
529|839|1|Tech-priest Dominus|"6"""|4|2+|5||4|7+|1|50mm||
530|840|1|Tech-priest Enginseer|"6"""|4|3+|5||3|7+|1|32mm||
531|841|1|Kataphron Breachers|"5"""|7|3+|6||3|7+|1|60mm||
532|842|1|Kataphron Destroyers|"5"""|6|3+|6||3|7+|1|60mm||
533|843|1|Fulgurite Electro-priests|"6"""|3|7+|5||1|7+|1|32mm||
534|844|1|Corpuscarii Electro-priests|"6"""|3|7+|5||1|7+|1|32mm||
535|845|1|Kastelan Robots|"6"""|9|2+|5||7|7+|2|60mm||
536|846|1|Cybernetica Datasmith|"6"""|4|2+|5||3|7+|1|32mm||
537|847|1|Servitors|"6"""|3|4+|6||1|8+|0|25mm||
538|848|1|Skitarii Rangers|"6"""|3|4+|5||1|7+|2|25mm|60 x 35mm if equipped with transuranic arquebus|
539|849|1|Skitarii Vanguard|"6"""|3|4+|5||1|7+|2|25mm|60 x 35mm if equipped with transuranic arquebus|
540|850|1|Sicarian Infiltrators|"8"""|4|4+|5||2|7+|1|40mm||
541|851|1|Sicarian Ruststalkers|"8"""|4|4+|5||2|7+|1|40mm||
542|852|1|Ironstrider Ballistarii|"10"""|7|3+|5||7|7+|2|105 x 70mm||
543|853|1|Sydonian Dragoons|"10"""|7|3+|5||7|7+|2|105 x 70mm||
544|854|1|Onager Dunecrawler|"8"""|10|2+|4||11|7+|3|130mm||
545|855|1|Knight Paladin|"10"""|11|3+|5|* against ranged attacks only|26|6+|10|170 x 109mm||
546|856|1|Knight Errant|"10"""|11|3+|5|* against ranged attacks only|26|6+|10|170 x 109mm||
547|857|1|Knight Warden|"10"""|11|3+|5|* against ranged attacks only|26|6+|10|170 x 109mm||
548|858|1|Knight Gallant|"12"""|11|3+|5|* against ranged attacks only|26|6+|10|170 x 109mm||
549|859|1|Knight Crusader|"10"""|11|3+|5|* against ranged attacks only|26|6+|10|170 x 109mm||
550|860|1|Acastus Knight Porphyrion|"8"""|13|2+|5|* Against ranged attacks only|30|6+|10|Use model||
551|861|1|Cerastus Knight Acheron|"12"""|11|3+|5|* Against ranged attacks only|28|6+|10|170 x 109mm||
552|862|1|Cerastus Knight Atrapos|"12"""|11|3+|5||28|6+|10|170 x 109mm||
553|863|1|Cerastus Knight Castigator|"12"""|11|3+|5|* Against ranged attacks only|28|6+|10|170 x 109mm||
554|864|1|Cerastus Knight Lancer|"14"""|11|3+|4||28|6+|10|170 x 109mm||
555|865|1|Questoris Knight Magaera|"10"""|11|3+|5||26|6+|10|170 x 109mm||
556|866|1|Questoris Knight Styrix|"10"""|11|3+|5||26|6+|10|170 x 109mm||
557|867|1|Warhound Titan|"14"""|13|2+|5|* Against ranged attacks only|40|6+|16|Use model||
558|868|1|Reaver Titan|"12"""|14|2+|5|* Against ranged attacks only|60|6+|20|Use model||
559|869|1|Warlord Titan|"10"""|16|2+|5|* Against ranged attacks only|100|6+|30|Use model||
560|870|1|Vindicare Assassin|"7"""|4|6+|4||4|6+|1|32mm||
561|871|1|Callidus Assassin|"7"""|4|6+|4||4|6+|1|32mm||
562|872|1|Eversor Assassin|"9"""|4|6+|4||4|6+|1|32mm||
563|873|1|Culexus Assassin|"7"""|4|6+|4||4|6+|1|32mm||
564|874|1|Inquisitor Greyfax|"6"""|3|3+|5||4|6+|1|32mm||
565|875|1|Inquisitor Karamazov|"8"""|9|3+|4||10|6+|3|60mm||
566|876|1|Inquisitor Coteaz|"6"""|3|2+|4||4|6+|1|40mm||
567|877|1|Inquisitor|"6"""|3|4+|5||4|6+|1|32mm||
568|882|1|Custodian Guard|"6"""|6|2+|4||3|6+|2|40mm||
569|883|1|Venerable Contemptor Dreadnought|"6"""|9|2+|5||10|6+|3|60mm||
570|884|1|Venerable Land Raider|"10"""|12|2+|-||16|6+|5|Use model||
571|889|1|Primaris Psyker|"6"""|3|5+|-||3|7+|1|32mm||
572|894|1|Crusaders|"6"""|3|3+|4||2|7+|1|25mm||
573|895|1|Death Cult Assassins|"7"""|3|5+|5||2|7+|1|25mm||
574|896|1|Arco-flagellants|"7"""|3|7+|6||2|8+|1|25mm||
575|897|1|Penitent Engines|"8"""|6|4+|6||5|7+|2|50mm||
576|898|1|CELESTINE|"12"""|3|2+|4||5|6+|1|40mm||
577|898|2|GEMINAE SUPERIA|"12"""|3|2+|4||2|7+|1|32mm||
578|899|1|Canoness|"6"""|3|3+|4||4|7+|1|32mm||
579|900|1|Imagifier|"6"""|3|3+|4||3|6+|1|32mm||
580|901|1|Hospitaller|"6"""|3|3+|6||3|7+|1|50mm||
581|902|1|Dialogus|"6"""|3|3+|4||3|6+|1|40mm||
582|903|1|Battle Sisters Squad|"6"""|3|3+|6||1|7+|2|32mm||
583|904|1|Seraphim Squad|"12"""|3|3+|5||1|7+|1|32mm||
584|907|1|REPENTIA SUPERIOR|"7"""|3|3+|6||1|7+|1|32mm||
585|907|2|SISTERS REPENTIA|"7"""|3|7+|6||1|8+|1|28.5mm||
586|908|1|Retributor Squad|"6"""|3|3+|6||1|7+|1|32mm||
587|909|1|Dominion Squad|"6"""|3|3+|6||1|7+|1|32mm||
588|910|1|Sororitas Rhino|"12"""|9|3+|6||10|7+|2|Use model||
589|911|1|Immolator|"12"""|10|3+|6||11|7+|2|Use model||
590|912|1|Exorcist|"10"""|10|3+|6||11|7+|3|Use model||
591|914|1|Bastion|-|13|2+|-||18|7+|0|Use model||
592|917|1|Vengeance Weapon Battery|-|13|2+|-||10|7+|0|Use model||
593|918|1|Firestorm Redoubt|-|13|2+|-||18|7+|0|Use model||
594|919|1|Plasma Obliterator|-|13|2+|-||18|7+|0|Use model||
595|920|1|Macro-cannon Aquila Strongpoint|-|13|2+|-||30|7+|0|Use model||
596|921|1|Vortex Missile Strongpoint|-|13|2+|-||30|7+|0|Use model||
597|922|1|Void Shield Generator|-|12|3+|4||16|7+|0|Use model||
598|923|1|Skyshield Landing Pad|-|12|3+|5||16|7+|0|Use model||
599|924|1|Abaddon The Despoiler|"5"""|5|2+|4||9|5+|4|60mm||
600|925|1|Huron Blackheart|"6"""|4|3+|4||5|6+|1|25mm||
601|926|1|Cypher|"6"""|4|3+|4||5|6+|1|32mm||
602|928|1|FABIUS BILE|"6"""|4|3+|-||5|6+|1|40mm||
603|928|2|SURGEON ACOLYTE|"6"""|4|6+|-||1|7+|1|32mm||
604|929|1|Chaos Lord|"6"""|4|3+|4||5|6+|1|40mm||
605|930|1|Chaos Lord In Terminator Armour|"5"""|5|2+|4||6|6+|1|40mm||
606|931|1|Chaos Lord On Bike|"12"""|5|3+|4||6|6+|2|75 x 25mm||
607|932|1|Chaos Lord On Juggernaut|"10"""|6|2+|4||7|6+|2|90 x 52mm||
608|933|1|Chaos Lord On Disc Of Tzeentch|"12"""|4|3+|4||6|6+|1|40mm||
609|934|1|Chaos Lord On Palanquin Of Nurgle|"5"""|5|3+|4||8|6+|2|60mm||
610|935|1|Chaos Lord On Steed Of Slaanesh|"14"""|5|3+|4||6|6+|2|No official base size|Use the Chaos Daemon's Seeker base size (60 x 35mm)?|
611|936|1|DARK APOSTLE|"6"""|4|3+|4||4|5+|1|40mm||
612|936|2|DARK DISCIPLE|"6"""|4|6+|4||1|7+|1|25mm||
613|937|1|Heretic Astartes Daemon Prince|"8"""|10|2+|4||10|6+|3|60mm||
614|938|1|Sorcerer|"6"""|4|3+|-||4|6+|1|40mm||
615|939|1|Sorcerer In Terminator Armour|"5"""|5|2+|4||5|6+|1|40mm||
616|940|1|Sorcerer On Bike|"12"""|5|3+|-||5|6+|2|75 x 25mm||
617|941|1|Sorcerer On Disc Of Tzeentch|"12"""|4|3+|-||5|6+|1|40mm||
618|942|1|Sorcerer On Palanquin Of Nurgle|"5"""|5|3+|-||7|6+|2|60mm||
619|943|1|Sorcerer On Steed Of Slaanesh|"14"""|5|3+|-||5|6+|2|No official base size|Use the Chaos Daemon's Seeker base size (60 x 35mm)?|
620|944|1|Warpsmith|"6"""|4|2+|-||4|6+|1|60 x 35mm||
621|946|1|Cultist Mob|"6"""|3|6+|-||1|7+|1|25mm||
622|947|1|Chaos Terminator Squad|"5"""|5|2+|4||3|6+|1|40mm||
623|952|1|Chosen|"6"""|4|3+|-||3|6+|1|32mm||
624|953|1|Possessed|"9"""|6|3+|5||3|6+|1|40mm||
625|954|1|Helbrute|"6"""|9|2+|-||8|6+|3|60mm||
626|955|1|Mutilators|"4"""|7|2+|5||4|6+|2|40mm||
627|956|1|Chaos Rhino|"12"""|9|3+|-||10|6+|2|Use model||
628|957|1|Chaos Bikers|"12"""|5|3+|-||3|6+|2|75 x 42mm||
629|958|1|Raptors|"12"""|4|3+|-||2|6+|1|32mm||
630|959|1|Warp Talons|"12"""|4|3+|5||2|6+|1|32mm||
631|960|1|Chaos Spawn|"8"""|5|4+|-||4|7+|0|50mm||
632|961|1|Heldrake|"20+"""|9|3+|5||12|6+|0|120 x 92mm flying base||
633|962|1|Chaos Land Raider|"10"""|12|2+|-||16|6+|5|Use model||
634|963|1|Chaos Predator Destructor|"10"""|10|3+|-||11|6+|3|Use model||
635|964|1|Chaos Vindicator|"9"""|11|2+|-||11|6+|3|Use model||
636|965|1|Obliterators|"4"""|7|2+|5||5|6+|2|50mm||
637|966|1|Havocs|"5"""|5|3+|-||2|6+|1|40mm||
638|967|1|Forgefiend|"8"""|10|3+|5||12|6+|3|120 x 92mm||
639|968|1|Maulerfiend|"10"""|10|3+|5||12|6+|3|120 x 92mm||
640|969|1|Defiler|"8"""|10|3+|5||14|6+|5|160mm||
641|970|1|Khorne Lord Of Skulls|"8"""|13|3+|5||24|6+|8|Use model||
642|1016|1|Sorcerer|"6"""|4|3+|5||4|6+|1|32mm||
643|1017|1|Sorcerer In Terminator Armour|"5"""|5|2+|4||5|6+|1|40mm||
644|1020|1|Rubric Marine|"6"""|4|3+|5||2|7+|2|32mm||
645|1020|2|Aspiring Sorcerer|"6"""|4|3+|5||3|6+|2|32mm||
646|1021|1|Helbrute|"8"""|9|2+|5||8|6+|3|60mm||
647|1022|1|Chaos Rhino|"12"""|9|3+|-||10|6+|2|Use model||
648|1023|1|Chaos Spawn|"8"""|5|4+|5||4|7+|1|50mm||
649|1024|1|Heldrake|"20+"""|9|3+|5||12|6+|0|120 x 92mm flying base||
650|1025|1|Chaos Land Raider|"10"""|12|2+|-||16|6+|5|Use model||
651|1026|1|Chaos Predator Destructor|"10"""|10|3+|-||11|6+|3|Use model||
652|1027|1|Chaos Vindicator|"9"""|11|2+|-||11|6+|3|Use model||
653|1028|1|Forgefiend|"8"""|10|3+|5||12|6+|3|120 x 92mm||
654|1029|1|Maulerfiend|"10"""|10|3+|5||12|6+|3|120 x 92mm||
655|1030|1|Defiler|"8"""|10|3+|5||14|6+|5|160mm||
656|1031|1|Magnus The Red|"14"""|11|2+|4||16|5+|6|100mm||
657|1032|1|Ahriman|"10"""|4|3+|4||6|6+|2|40mm||
658|1033|1|Exalted Sorcerer|"6"""|4|3+|4||5|6+|1|32mm||
659|1034|1|Tzaangors|"6"""|4|6+|6||1|7+|1|32mm||
660|1035|1|Scarab Occult Terminator|"5"""|5|2+|4||3|7+|1|40mm||
661|1035|2|Scarab Occult Sorcerer|"5"""|5|2+|4||4|6+|1|40mm||
662|1036|1|Daemon Prince of Tzeentch|"9"""|10|2+|4||10|6+|3|60mm||
663|1037|1|Death Guard Chaos Lord|"5"""|5|3+|4||5|6+|1|40mm||
664|1038|1|Death Guard Chaos Lord In Terminator Armour|"4"""|6|2+|4||6|6+|1|40mm||
665|1041|1|Death Guard Sorcerer In Terminator Armour|"4"""|6|2+|4||5|6+|1|40mm||
666|1043|1|Death Guard Cultists|"6"""|3|6+|-||1|7+|1|25mm||
667|1044|1|Plague Marines|"5"""|6|3+|-||2|6+|2|32mm||
668|1045|1|Death Guard Possessed|"9"""|6|3+|5||3|6+|1|32mm||
669|1046|1|Helbrute|"7"""|9|2+|-||8|6+|3|60mm||
670|1047|1|Chaos Rhino|"12"""|9|3+|-||10|6+|2|Use model||
671|1048|1|Chaos Spawn|"8"""|7|4+|-||4|7+|1|50mm||
672|1049|1|Chaos Land Raider|"10"""|12|2+|-||16|6+|5|Use model||
673|1050|1|Chaos Predator Annihilator|"10"""|10|3+|-||11|6+|3|Use model||
674|1051|1|Defiler|"8"""|11|3+|5||14|6+|5|160mm||
