|faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
398|CSM|COILS OF DECEPTION|8965005|Deceptors – Strategic Ploy Stratagem|1.0|Some Heretic Astartes are masters of deceit, often feigning retreat only to open fire from close range.|Your turn|Movement phase|Deceptors|868.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, just after a <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Falls Back</a>.<br><br><b>TARGET:</b> That <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot in a turn in which it Fell Back"|
399|CSM|DETONATOR|8965002|Deceptors – Wargear Stratagem|1.0|These warriors employ expert saboteurs who utilise melta charges and improvised explosives to sow destruction.|Either player’s turn|Any phase|Deceptors|868.0|"<b>WHEN:</b> Any phase, just after an enemy model with the <a href=""/wh40k10ed/the-rules/core-rules/#Assault"">Deadly Demise</a> ability (excluding <span class=""kwb"">TITANIC</span> models) is destroyed<br><br><b>TARGET:</b> One <span class=""tooltip00740"" data-tooltip-content=""#tooltip_content00740"" data-tooltip-anchor=""#tooltip_content00740""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">CHARACTER</span></span> unit from your army that was within 18"" of that enemy model when it was destroyed.<br><br><b>EFFECT:</b> Your opponent does not roll to determine whether <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wounds</a> are inflicted by their model’s Deadly Demise ability. Instead, mortal wounds are automatically inflicted (if that ability inflicts a random number of mortal wounds, your opponent rolls to determine that number as normal)."|
400|CSM|PITILESS HUNTERS|8973004|Dread Talons – Battle Tactic Stratagem|1.0|These predatory warriors sense weakness as the hydra shark smells blood, sating their bloodlust upon the fearful and wounded.|Your turn|Shooting phase|Dread Talons|870.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00263"" data-tooltip-content=""#tooltip_content00263"" data-tooltip-anchor=""#tooltip_content00263""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> unit from  your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets a unit that is <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shocked</a> and/or <a href=""/wh40k10ed/the-rules/core-rules/#Below-Half-strength"">Below Half-strength</a>, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> and you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
401|CSM|DEPTHLESS CRUELTY|8973002|Dread Talons – Battle Tactic Stratagem|1.0|Terror troops such as these inflict agonies upon their victims with malicious relish, targeting the weakened and wounded without pity|Either player’s turn|Fight phase|Dread Talons|870.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a><br><br><b>TARGET:</b> One <span class=""tooltip00263"" data-tooltip-content=""#tooltip_content00263"" data-tooltip-anchor=""#tooltip_content00263""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets a unit that is <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shocked</a> and/or <a href=""/wh40k10ed/the-rules/core-rules/#Below-Half-strength"">Below Half-strength</a>, improve the Armour Penetration characteristic of that attack by 1."|
402|CSM|BLOODY EXAMPLE|8973003|Dread Talons – Epic Deed Stratagem|1.0|The violent and bloody slaughter of the enemy’s leadership hurls their followers into abject panic.|Either player’s turn|Fight phase|Dread Talons|870.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after a <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army destroys a <span class=""kwb"">CHARACTER</span> unit.<br><br><b>TARGET:</b> That <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit.<br><br><b>EFFECT:</b> Each enemy unit within 12"" of and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to your unit must take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a>."|
403|CSM|RELENTLESS TERROR|8973005|Dread Talons – Strategic Ploy Stratagem|1.0|These warriors strike in screaming waves, each charge as brutal as the last.|Your turn|Movement phase|Dread Talons|870.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, just after a <span class=""tooltip00263"" data-tooltip-content=""#tooltip_content00263"" data-tooltip-anchor=""#tooltip_content00263""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> unit from your army <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Falls Back</a>.<br><br><b>TARGET:</b> That <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span> unit. <br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it Fell Back."|
404|CSM|SCREAMING DESCENT|8973006|Dread Talons – Strategic Ploy Stratagem|1.0|Jump pack borne warriors descend from the skies, terrifying screams emanating from their vox-grilles as they plummet towards their prey.|Your turn|Movement phase|Dread Talons|870.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reinforcements step</a> of your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, from the second <a href=""/wh40k10ed/the-rules/core-rules/#The-Battle-Round"">battle round</a> onwards.<br><br><b>TARGET:</b> One <span class=""tooltip00741"" data-tooltip-content=""#tooltip_content00741"" data-tooltip-anchor=""#tooltip_content00741""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">JUMP</span> <span class=""kwb"">PACK</span></span> unit from your army that is in <a href=""/wh40k10ed/the-rules/core-rules/#2.-Reinforcements"">Reserves</a>.<br><br><b>EFFECT:</b> Set your unit up anywhere on the battlefield that is more than 6"" horizontally away from all  enemy units, but until the end of the turn, it is not eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a>. Then select one enemy <span class=""kwb"">INFANTRY</span> or <span class=""kwb"">MOUNTED</span> unit within 9"" of and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to your unit: that unit must take a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shock test</a>."|
405|CSM|MERCILESS PURSUIT|8973007|Dread Talons – Strategic Ploy Stratagem|1.0|The Heretic Astartes allow none to flee the battle, pursuing their broken foes with relentless savagery.|Opponent’s turn|Movement phase|Dread Talons|870.0|"<b>WHEN:</b> End of your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00263"" data-tooltip-content=""#tooltip_content00263"" data-tooltip-anchor=""#tooltip_content00263""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> unit from your army that is not within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Select one enemy unit that <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a> this turn and is within 6"" of your unit. Your unit can  <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> as if it were your Charge phase. When doing so, you can only select that enemy  unit as the target of that charge (and only if it is an eligible target). Note that even if this charge is successful, your unit does not receive any Charge bonus this turn."|
406|CSM|POINT-BLANK DESTRUCTION|8977005|Fellhammer Siege-Host – Battle Tactic Stratagem|1.0|Even in the press of combat, the Heretic Astartes bring heavy weapons to bear, shattering fortifications and obliterating enemy infantry.|Your turn|Shooting phase|Fellhammer Siege-host|871.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a><br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units and has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, your unit’s ranged weapons (excluding <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">Blast weapons</a>) have the  <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">[PISTOL]</a></span> ability."|
407|CSM|PITILESS CANNONADE|8977004|Fellhammer Siege-Host – Battle Tactic Stratagem|1.0|These warriors focus their ire upon a wounded foe, combining fire to fell their target in a cavalcade of destructive force.|Your turn|Shooting phase|Fellhammer Siege-host|871.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets a unit  that is <a href=""/wh40k10ed/the-rules/core-rules/#Below-Half-strength"">Below Half-strength</a>, a successful unmodified <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 5+ scores a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Critical Hit</a>"|
408|CSM|PERSISTENT ASSAILANTS|8977002|Fellhammer Siege-Host – Battle Tactic Stratagem|1.0|These iron-willed warriors refuse to retreat, even i the face of overwhelming odds. Mounting losses serve only to drive them forward|Either player’s turn|Fight phase|Fellhammer Siege-host|871.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that was selected as the target of one or more attacks this phase and has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>, and if your unit is <a href=""/wh40k10ed/the-rules/core-rules/#Below-Half-strength"">Below Half-strength</a> you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a> as well."|
409|CSM|BRUTAL ATTRITION|8977003|Fellhammer Siege-Host – Epic Deed Stratagem|1.0|These implacable soldiers weather the enemy's fury before striking back in kind, to devastating effect.|Either player’s turn|Fight phase|Fellhammer Siege-host|871.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00263"" data-tooltip-content=""#tooltip_content00263"" data-tooltip-anchor=""#tooltip_content00263""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> unit from your army (excluding <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> units) that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time a melee attack is allocated to your unit, after the attacking unit has finished making its attacks, roll one D6 (to maximum of six D6 per attacking unit): for each 4+, the attacking unit suffers 1 <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a>."|
410|CSM|STEADFAST DETERMINATION|8977006|Fellhammer Siege-Host – Strategic Ploy Stratagem|1.0|These warriors possess endless endurance and are capable of weathering untold hardships in order to destroy their foes.|Opponent’s turn|Shooting phase|Fellhammer Siege-host|871.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army (excluding <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> units) that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, models in your unit have the <span class=""tooltip00059"" data-tooltip-content=""#tooltip_content00059""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">5+</span></span> ability."|
411|CSM|SIEGECRAFT|8977007|Fellhammer Siege-Host – Strategic Ploy Stratagem|1.0|Veterans of countless grinding sieges, these Heretic Astartes repel and pin down wave after wave of foes with rapid boltgun fire and accurate artillery.|Opponent’s turn|Charge phase|Fellhammer Siege-host|871.0|"<b>WHEN:</b> Start of your opponents <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, each time an enemy unit selects your unit as a target of a charge,  subtract 2 from the <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge roll</a> (this is not cumulative with any other negative modifiers to that Charge roll)."|
412|CSM|INVETERATE MURDERERS|9504002|Infernal Reavers – Battle Tactic Stratagem|1.0|So long have these warriors fought and killed their way across the galaxy that they have become experts in finding the weak spots of even the hardiest foes.|Either player’s turn|Fight phase|Infernal Reavers|946.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army (excluding <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> units) that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack, if the Strength characteristic of that attack is less than or equal to the Toughness characteristic of the target, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
413|CSM|LOW CUNNING|9504003|Infernal Reavers – Battle Tactic Stratagem|1.0|Disabused of such notions as honour or self-sacrifice, Chaos Space Marines use every trick and cunning ruse to ensure their own survival.|Either player’s turn|Shooting or Fight phase|Infernal Reavers|946.0|"<b>WHEN:</b> Your opponent's <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army (excluding <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> units) that was selected as the target of one or more of the attacking unit's attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time an attack targets your unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of your unit, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
414|CSM|CRUEL EXECUTION|9504005|Infernal Reavers – Strategic Ploy Stratagem|1.0|Veteran killers all, these warriors will exploit the slightest enemy misstep to simply move back and gun their victims down in cold blood.|Your turn|Shooting phase|Infernal Reavers|946.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army (excluding <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> units).<br><br><b>EFFECT:</b> Until the end of the phase, your unit is eligible to shoot in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a>."|
415|CSM|NEXT PRIZE|9504004|Infernal Reavers – Strategic Ploy Stratagem|1.0|The Long Waris gruelling and requires endless captured materiel to wage. Thus this warband are forever searching for the next cache of arms or riches to loot with rapacious eagerness.|Your turn|Command phase|Infernal Reavers|946.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>, just after a <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army has <a href=""/wh40k10ed/the-rules/boarding-action-rules/#SEIZING-AND-SECURING-OBJECTIVE-MARKERS"">Secured</a> an <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Objective-Markers"">objective marker</a>, or your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase"">Movement phase</a>, just after a <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army has opened a <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Terrain"">Hatchway</a>.<br><br><b>TARGET:</b> That <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit.<br><br><b>EFFECT:</b> Your unit can make a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a> of up to 3"". If this Stratagem is used in your Movement phase, at least one model from your unit must end that move on the opposite side of the Hatchway from the one it started the phase on."|
416|CSM|PROFANE ZEAL|8358004|Pactbound Zealots – Battle Tactic Stratagem|1.0|Those Heretic Astartes sworn to the service of the Dark Gods display zeal through violence.|Either player’s turn|Shooting or Fight phase|Pactbound Zealots|751.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00742"" data-tooltip-content=""#tooltip_content00742"" data-tooltip-anchor=""#tooltip_content00742""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">CHAOS</span> <span class=""kwb"">UNDIVIDED</span></span> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
417|CSM|SKINSHIFT|8358005|Pactbound Zealots – Epic Deed Stratagem|1.0|Those who offer praise to the God of Change may gam the benefits of his mutagenic powers.|Your turn|Command phase|Pactbound Zealots|751.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army.<br><br><b>EFFECT:</b> One model in your unit regains up to 3 lost wounds. In addition, if your unit is a <span class=""tooltip00664"" data-tooltip-content=""#tooltip_content00664"" data-tooltip-anchor=""#tooltip_content00664""><span class=""kwb"">TZEENTCH</span></span> unit below its <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strength</a>, one <a href=""/wh40k10ed/the-rules/core-rules/#Destroyed"">destroyed</a> model (excluding <span class=""tooltip00269"" data-tooltip-content=""#tooltip_content00269"" data-tooltip-anchor=""#tooltip_content00269""><span class=""kwb"">CHARACTER</span></span> models) is returned to your unit with its full wounds remaining."|
418|CSM|EYE OF THE GODS|8358002|Pactbound Zealots – Epic Deed Stratagem|1.0|The eyes of the Dark Gods fall upon those who slaughter in their name.|Either player’s turn|Fight phase|Pactbound Zealots|751.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after a <span class=""tooltip00740"" data-tooltip-content=""#tooltip_content00740"" data-tooltip-anchor=""#tooltip_content00740""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">CHARACTER</span></span> unit from your army (excluding  <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span>, <span class=""tooltip00743"" data-tooltip-content=""#tooltip_content00743"" data-tooltip-anchor=""#tooltip_content00743""><span class=""kwb"">DAEMON</span></span> and <span class=""tooltip00444"" data-tooltip-content=""#tooltip_content00444"" data-tooltip-anchor=""#tooltip_content00444""><span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span></span> units) destroys a enemy unit.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">CHARACTER</span> model in that unit. <br><br><b>EFFECT:</b> Until the end of the battle, add 1 to the Move, Toughness and Wounds characteristics of that  <span class=""kwb"">CHARACTER</span> model, and add 1 to the Attacks. Strength and Damage characteristics of that <span class=""kwb"">CHARACTER</span> model’s melee weapons."|
419|CSM|FESTERING MIASMA|8358007|Pactbound Zealots – Strategic Ploy Stratagem|1.0|A roiling storm of warp energy obscures the Heretic Astartes, leaving their foes shooting at indistinct shadows.|Opponent’s turn|Shooting phase|Pactbound Zealots|751.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, your unit has the <a href=""/wh40k10ed/the-rules/core-rules/#_STEALTH"">Stealth</a> ability. In addition, if your unit is a <span class=""tooltip00665"" data-tooltip-content=""#tooltip_content00665"" data-tooltip-anchor=""#tooltip_content00665""><span class=""kwb"">NURGLE</span></span> unit, it can only be selected as the target of a ranged attack if the attacking model is within 18""."|
420|CSM|ETERNAL HATE|8358003|Pactbound Zealots – Strategic Ploy Stratagem|1.0|The Blood God’s thirst can never be slaked.|Either player’s turn|Fight phase|Pactbound Zealots|751.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit is <a href=""/wh40k10ed/the-rules/core-rules/#Destroyed"">destroyed</a>, if that model has not fought this phase, roll one D6, adding 1 to the result if it is a <span class=""tooltip00518"" data-tooltip-content=""#tooltip_content00518"" data-tooltip-anchor=""#tooltip_content00518""><span class=""kwb"">KHORNE</span></span> unit: on a 4+, do not remove it from play. That destroyed model can fight after the attacking model’s unit has finished making its attacks, and is then removed from play."|
421|CSM|TORPEFYING REFRAIN|8358006|Pactbound Zealots – Strategic Ploy Stratagem|1.0|As these warriors traverse the battlefield, an unnatural symphony of hypnotic music accompanies their every move, stupefying their enemies.|Your turn|Movement phase|Pactbound Zealots|751.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a>. If your unit is a <span class=""tooltip00666"" data-tooltip-content=""#tooltip_content00666"" data-tooltip-anchor=""#tooltip_content00666""><span class=""kwb"">SLAANESH</span></span> unit, until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advanced</a> or <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a>."|
422|CSM|RUINOUS RAID|8969006|Renegade Raiders – Battle Tactic Stratagem|1.0|Utilising their swift transports, these ravagers plunge through the enemy lines to assault key positions.|Your turn|Shooting or Fight phase|Renegade Raiders|869.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or your <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a> <br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that <a href=""/wh40k10ed/the-rules/core-rules/#Disembark"">disembarked</a> from a <span class=""tooltip00395"" data-tooltip-content=""#tooltip_content00395"" data-tooltip-anchor=""#tooltip_content00395""><span class=""kwb"">TRANSPORT</span></span> this turn and has not been selected to shoot or fight this phase. <br><br><b>EFFECT:</b> Until the end of the phase, each time a  model in your unit makes an attack, if the target of that attack is within range of an <a href=""/wh40k10ed/the-rules/core-rules/#Objective-Markers"">objective marker</a>, you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> and you can re-roll the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
423|CSM|SCOUR AND SEIZE|8969003|Renegade Raiders – Battle Tactic Stratagem|1.0|If the bounty is to be claimed, the foe must first be purged.|Either player’s turn|Fight phase|Renegade Raiders|869.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack that targets a unit within range of an <a href=""/wh40k10ed/the-rules/core-rules/#Objective-Markers"">objective marker</a>, that attack has the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Precision"">[PRECISION]</a></span> ability."|
424|CSM|UNFAILINGLY OBDURATE|8969002|Renegade Raiders – Battle Tactic Stratagem|1.0|Such is their determination to claim their due that these warriors will gladly weather a storm of fire.|Either player’s turn|Shooting or Fight phase|Renegade Raiders|869.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army (excluding <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> units) that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1."|
